trace_id,subnet,maxPower
AV.SPCG..BHZ,Spurr,None
AV.CKL..EHZ,Spurr,None
AV.BGL..EHZ,Spurr,None
AV.CKT..EHZ,Spurr,None
AV.CRP..EHZ,Spurr,None
AV.RDDF..BHZ,Redoubt,120
AV.RSO..EHZ,Redoubt,None
AV.NCT..BHZ,Redoubt,120
AV.DFR..EHZ,Redoubt,None
AV.RED..BHZ,Redoubt,120
AV.RDT..EHZ,Redoubt,None
AV.ILI..EHZ,Iliamna,None
AV.ILS..EHZ,Iliamna,None
AV.IVE..EHZ,Iliamna,None
AV.INE..EHZ,Iliamna,None
AV.AUCH..BHZ,Augustine,None
AV.AUW..EHZ,Augustine,None
AV.AU22..BHZ,Augustine,None
AV.AUE..EHZ,Augustine,None
AV.AUP..EHZ,Augustine,None
AV.AUH..EHZ,Augustine,None
NZ.WIZ.10.HHZ,Whakaari,None
NZ.WSRZ.10.HHZ,Whakaari,None
